"Kod","Ders Adı","Kredi","AKTS"
"EEM4122","R PROGRAMLAMA VE MAKİNE ÖĞRENMESİ UYGULAMALARI",3,5
"EEM1001","KARİYER PLANLAMA",1,1
"EEM1301","ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİNE GİRİŞ",3,3
"FZK1071","TEMEL FİZİK I",5,6
"KIM1077","GENEL KİMYA",4,6
"MAT1089","DİFERENSİYEL VE İNTEGRAL HESAP I",6,6
"ATA101","ATATÜRK İLKELERİ VE İNKILAP TARİHİ I",2,2
"TUD101","TÜRK DİLİ I",2,2
"YAD101","YABANCI DİL I (İNGİLİZCE)",2,2
"EEM1002","ALGORİTMA VE PROGRAMLAMA",4,4
"EEM1004","MÜHENDİSLİK MATEMATİĞİ",4,5
"FZK1072","TEMEL FİZİK II",5,6
"MAT1090","DİFERENSİYEL VE İNTEGRAL HESAP II",6,6
"ATA102","ATATÜRK İLKELERİ VE İNKILAP TARİHİ II",2,2
"TUD102","TÜRK DİLİ II",2,2
"YAD102","YABANCI DİL II (İNGİLİZCE)",2,2
"EEM2101","DEVRE ANALİZİ I",3,4
"EEM2105","MANTIK DEVRELERİ",3,4
"EEM2107","MANTIK DEVRELERİ LABORATUVARI",2,2
"EEM2201","ELEKTROMANYETİK ALAN TEORİSİ",3,4
"EEM2301","ELEKTRONİK MALZEMELER VE UYGULAMALARI",4,4
"EEM2401","SİNYALLER VE SİSTEMLER I",3,4
"ISG201","İŞ SAĞLIĞI VE GÜVENLİĞİ I",2,2
"MAK2083","DİFERANSİYEL DENKLEMLER",5,6
"EEM2002","YAZILIM DESTEKLİ MÜHENDİSLİK",4,5
"EEM2102","DEVRE ANALİZİ II",3,4
"EEM2104","DEVRE ANALİZİ LABORATUVARI",3,3
"EEM2202","ELEKTROMANYETİK DALGA TEORİSİ",3,4
"EEM2204","SAYISAL ANALİZ",3,4
"EEM2302","ELEKTRONİK I",3,4
"EEM2402","SİNYALLER VE SİSTEMLER II",3,4
"ISG202","İŞ SAĞLIĞI VE GÜVENLİĞİ II",3,2
"EEM3301","ELEKTRONİK II",3,4
"EEM3303","ELEKTRONİK LABORATUVARI",3,3
"EEM3401","OLASILIK VE İSTATİSTİK",4,4
"EEM3501","ELEKTRİK TESİSLERİ",3,4
"EEM3601","OTOMATİK KONTROL",3,4
"PRJ3001","PROJE KÜLTÜRÜ",1,1
"EEM3701","YABANCI DİLDE OKUMA VE KONUŞMA",2,3
"EEM3702","MESLEKİ YABANCI DİL I",2,3
"EEM3001","GÖRSEL PROGRAMLAMA",3,4
"EEM3101","DOĞADAN ESİNLENEN OPTİMİZASYON ALGORİTMALARI",3,4
"EEM3103","OPTİMİZASYON YÖNTEMLERİ",3,4
"EEM3201","MİKRODALGA",3,4
"EEM3305","NANOTEKNOLOJİYE GİRİŞ",3,4
"EEM3302","ELEKTRONİK III",4,4
"EEM3402","HABERLEŞME SİSTEMLERİ",4,4
"EEM3512","ELEKTRİK MAKİNELERİ",3,4
"EEM3514","ELEKTRİK MAKİNELERİ LABORATUVARI",2,3
"EEM3602","MİKROİŞLEMCİLER",4,4
"EEM4701","MESLEKİ YABANCI DİL II",2,3
"EEM3002","BİLGİSAYAR DESTEKLİ MODELLEME VE ANALİZ",3,4
"EEM3102","YAPAY SİNİR AĞLARI",3,4
"EEM3202","MİKRODALGA ELEKTRONİĞİ",3,4
"EEM3306","KUANTUM FİZİĞİNE GİRİŞ",3,4
"EEM3308","ELEKTRONİK ÖLÇME VE ENSTRUMANTASYON",3,4
"EEM3310","SAYISAL ELEKTRONİK DEVRELERİ",3,4
"EEM4001","BİTİRME PROJESİ HAZIRLIK",2,9
"EEM4003","SEMİNER I",1,1
"EEM4005","STAJ I",0,5
"EEM4021","MÜHENDİSLİK ETİĞİ",2,3
"EEM4301","GÜÇ ELEKTRONİĞİ",3,4
"EEM4002","BİTİRME PROJESİ",2,9
"EEM4004","SEMİNER II",1,1
"EEM4006","STAJ II",0,5
"EEM4022","İŞ HUKUKU VE BİLİRKİŞİLİK",2,3
"EEM4502","YÜKSEK GERİLİM TEKNİĞİ",3,4
