KOD,AD,KREDİ,AKTS
FİZ105,FİZİK LAB.-I,2,2
FİZ111,FİZİK-I,4,6
MAT161,MATEMATİK-I,4,6
TRD109,TÜRK DİLİ,2,2
YMH111,ALGORİTMA VE PROG.-I,3,6
YMH113,BİLGİSAYAR BİLİMLERİNE GİRİŞ,3,6
YMH115,YAZILIM MÜH. ORYANTASYONU,2,2
1GÜZ,1. SINIF GÜZ İNGİLİZCE SEÇ. DERSLER,2,2
YDI107,İNGİLİZCE-I,2,2
YDI109,İLERİ İNGİLİZCE-I,2,2
FİZ106,FİZİK LAB.-II,2,2
FİZ112,FİZİK-II,3,5
MAT162,MATEMATİK-II,4,6
TRD110,TÜRK DİLİ-II,2,2
YMH112,ALGORİTMA VE PROG.-II,3,7
YMH114,YAZILIM MÜH. TEMELLERİ,3,6
1BAHAR,1. SINIF BAHAR İNGİLİZCE SEÇ. DERSLER,2,2
YDI108,İNGİLİZCE-II,2,2
YDI110,İLERİ İNGİLİZCE-II,2,2
AİT209,ATATÜRK İLKE VE İNK. TAR.-I,2,2
İST217,OLASILIK VE İSTATİSTİK,3,4
MAT215,LİNEER CEBİR,2,4
YMH211,AYRIK YAPILAR,2,5
YMH213,MESLEKİ İNGİLİZCE,2,3
YMH215,SAYISAL TASARIM,3,6
YMH217,NESNE TABANLI PROGRAMLAMA,3,6
2 GÜZ,PEDAGOJİK FORMASYON SEÇMELİ DERSLER,3,8
PFES201,EĞİTİME GİRİŞ,3,4
PFES203,ÖĞRETİM İLKE VE YÖNTEMLERİ,3,4
AİT210,ATATÜRK İLKE VE İNK. TAR.-II,2,2
MAT220,DİFERANSİYEL DENKLEMLER,4,6
YMH210,İNGİLİZCE İLETİŞİM BECERİLERİ,2,3
YMH212,YAZILIM GEREKSİNİMLERİ VE ANALİZİ,3,5
YMH214,SAYISAL ANALİZ,3,4
YMH218,VERİ YAPILARI,3,4
YMH220,İLERİ PROGRAMLAMA TEKNİKLERİ,2,3
YMH216,YAZILIM EKONOMİSİ,2,3
2 BAHAR,PEDAGOJİK FORMASYON SEÇMELİ DERSLER,3,8
PFES202,Sınıf Yönetimi,2,3
PFES204,Özel Öğretim Yöntemleri,3,4
YMH311,YAZILIM TASARIM VE MİMARİSİ,3,5
YMH313,İŞLETİM SİSTEMLERİ,4,6
YMH315,VERİTABANI YÖNETİM SİS.,5,8
YMH317,ALGORİTMA ANALİZİ,3,3
YMH319,PROGRAMLAMA DİLLERİ,3,3
3 GÜZ,PEDAGOJİK FORMASYON SEÇMELİ DERSLER,8,8
3GÜZ,3. SINIF GÜZ SEÇ. DERSLER,6,6
PFES301,Eğitim Psikolojisi,4,6
PFES303,Eğitimde Ölçme ve Değerlendirme,4,6
YMH321,BİLGİ SİSTEMLERİ VE GÜV.,6,6
YMH323,AĞ SİSTEMLERİ,6,6
YMH325,MİKROİŞLEMCİLER VE PROG.,6,6
YMH327,MOBİL PROGRAMLAMA,6,6
YMH329,İNSAN BİLGİSAYAR ETKİLEŞİMİ,6,6
YMH331,DAĞITIK YAZILIM MÜHENDİSLİĞİ,6,6
YMH333,PARALEL PROGRAMLAMA,6,6
YMH335,GRAFİK PROGRAMLAMA,6,6
YMH337,BİLGİSAYAR DESTEKLİ TASARIM,6,6
YMH339,MAKİNE GÖRÜNTÜ İŞLEME VE UYGULAMALARI,6,6
YMH310,WEB TASARIM VE PROG.,5,5
YMH312,BİÇİMSEL DİLLER VE OTOMATA TEORİSİ,5,5
YMH314,FONKSİYONEL PROGRAMLAMA,5,5
3 BAHAR,PEDAGOJİK FORMASYON SEÇMELİ DERSLER,6,6
3BAHAR,3. SINIF BAHAR SEÇ. DERSLER,6,6
6,3. SINIF Sosyal Seçmeli,6,6
İŞL451,Girişimcilik-I,3,4
PFES302,Rehberlik ve Özel Eğitim,4,6
PFES304,Öğretim Teknolojileri,3,4
YMH316,İŞ HUKUKU,3,4
YMH318,OPTİMİZASYON TEKNİKLERİ,3,4
YMH320,BİLGİSAYAR GRAFİK VE ANI.,3,6
YMH322,VERİ MADENCİLİĞİ,3,4
YMH324,ÇOKLU ORTAM YAZILIM GELİŞTİRME,3,4
YMH326,BİYOİNFORMATİK,3,4
YMH328,VERİBANI TAS. VE PROG.,3,4
YMH330,AĞ PROGRAMLAMA,3,6
YMH332,ERP SİSTEMLERİ,3,6
YMH338,AS KODLU WEB VE MOBİL UYGULAMA GELİŞTİRME,3,6
4GUZDERS,4. Sınıf Güz Dönem Dersleri,0,3
4GÜZ,PEDAGOJİK FORMASYON SEÇMELİ DERSLER,1,10
4GÜZ2,4. SINIF GÜZ SEÇMELİ DERSLER,3,6
4GÜZS,4. Sınıf Sosyal Seçmeli Dersler,2,3
PFES401,Öğretmenlik Uygulaması,1,10
YMH403,Girişimcilik-II,2,3
YMH411,İŞ YERİ EĞİTİMİ,5,5
YMH413,MESLEKİ UYGULAMA-I,2,5
YMH415,MESLEKİ UYGULAMA-II,2,5
YMH417,İŞ YERİ EĞİTİMİ UYGULAMASI,0,15
YMH451,YAPAY ZEKA VE UZMAN SİS.,3,6
YMH453,YAZILIM KALİTE GÜVEN. VE T.,3,6
YMH455,BİTİRME PROJESİ,2,3
YMH457,İNSAN KAYNAKLARI YÖNETİMİ,3,6
YMH459,YAZILIM MÜH. GÜNCEL KONULAR,3,6
YMH461,HAREKETLİ YAZILIM GELİŞTİRME,3,6
YMH463,SAYISAL GÖRÜNTÜ İŞLEME YÖN.,3,6
YMH465,ROBOT PROGRAMLAMA,3,6
YMH467,E-TİCARET,3,6
YMH473,MAKİNE ÖĞRENMESİ,3,6
YMH475,OYUN TASARIMI VE PROG.,3,6
4BAHARDERS,4. Sınıf Bahar Dönem Dersleri,0,3
4,4. SINIF SEÇMELİ DERSLER,3,6
4BAHAR,PEDAGOJİK FORMASYON SEÇMELİ DERSLER,1,10
5,4. Sınıf Sosyal Seçmeli,2,3
İŞL452,Girişimcilik-II,2,3
PFES402,Öğretmenlik Uygulaması,1,10
YMH403,Girişimcilik-II,2,3
YMH410,YAPAY ZEKA VE UZMAN SİS.,3,6
YMH411,İŞ YERİ EĞİTİMİ,5,5
YMH413,MESLEKİ UYGULAMA-I,0,5
YMH415,MESLEKİ UYGULAMA-II,0,2
YMH416,İNSAN KAYNAKLARI YÖNETİMİ,3,6
YMH417,İŞ YERİ EĞİTİMİ UYGULAMASI,0,15
YMH420,OYUN TASARIMI VE PROG.,3,6
YMH422,HAREKETLİ YAZILIM GELİŞTİRME,3,6
YMH424,SAYISAL GÖRÜNTÜ İŞLEME YÖN.,3,6
YMH426,ROBOT PROGRAMLAMA,3,6
YMH428,E-TİCARET,3,6
YMH432,MAKİNE ÖĞRENMESİ,3,6
YMH434,BÜYÜK VERİ ANALİZİ,3,6
YMH451,YAPAY ZEKA VE UZMAN SİS.,3,6
YMH453,YAZILIM KALİTE GÜVEN. VE T.,3,6
YMH455,BİTİRME PROJESİ,2,3
YMH459,YAZILIM MÜH. GÜNCEL KONULAR,3,6
YMH461,HAREKETLİ YAZILIM GELİŞTİRME,3,6
YMH463,SAYISAL GÖRÜNTÜ İŞLEME YÖN.,3,6
YMH465,ROBOT PROGRAMLAMA,3,6
YMH467,E-TİCARET,3,6
YMH475,OYUN TASARIMI VE PROG.,3,6
